cik	year	cat
1000459	2001	36
1000459	2001	37
1000459	2001	38
1000459	2001	39
1000459	2001	42
1000459	2001	48
1000459	2001	50
1000459	2001	51
1000459	2001	308
1000459	2001	53
1000459	2001	55
1000459	2001	56
1000459	2001	57
1000459	2001	59
1000459	2001	62
1000459	2001	565
1000459	2001	64
1000459	2001	481
1000459	2001	73
1000459	2001	331
1000459	2001	79
1000459	2001	80
1000459	2001	594
1000459	2001	87
1000459	2001	355
1000459	2001	357
1000459	2001	364
1000459	2001	621
1000459	2001	366
1000459	2001	61
1000459	2001	371
1000459	2001	382
1000459	2001	384
1000459	2001	641
1000459	2001	153
1000459	2001	367
1000459	2001	283
1000459	2001	421
1000459	2001	736
1000459	2001	737
1000459	2001	738
1000459	2001	483
1000459	2001	495
1000459	2001	504
1000459	2001	506
1000495	2001	10
1000495	2001	15
1000495	2001	533
1000495	2001	27
1000495	2001	32
1000495	2001	34
1000495	2001	35
1000495	2001	36
1000495	2001	37
1000495	2001	38
1000495	2001	39
1000495	2001	42
1000495	2001	44
1000495	2001	48
1000495	2001	50
1000495	2001	51
1000495	2001	308
1000495	2001	53
1000495	2001	55
1000495	2001	56
1000495	2001	57
1000495	2001	59
1000495	2001	62
1000495	2001	565
1000495	2001	64
1000495	2001	481
1000495	2001	73
1000495	2001	331
1000495	2001	80
1000495	2001	594
1000495	2001	87
1000495	2001	355
1000495	2001	357
1000495	2001	873
1000495	2001	364
1000495	2001	621
1000495	2001	366
1000495	2001	61
1000495	2001	371
1000495	2001	382
1000495	2001	641
1000495	2001	153
1000495	2001	367
1000495	2001	421
1000495	2001	736
1000495	2001	737
1000495	2001	738
1000495	2001	483
1000495	2001	492
1000495	2001	495
1000495	2001	504
1000495	2001	506
1000564	2001	15
1000564	2001	23
1000564	2001	25
1000564	2001	26
1000564	2001	30
1000564	2001	32
1000564	2001	33
1000564	2001	34
1000564	2001	35
1000564	2001	36
1000564	2001	37
1000564	2001	38
1000564	2001	39
1000564	2001	42
1000564	2001	45
1000564	2001	50
1000564	2001	51
1000564	2001	308
1000564	2001	54
1000564	2001	55
1000564	2001	57
1000564	2001	394
1000564	2001	565
1000564	2001	64
1000564	2001	481
1000564	2001	73
1000564	2001	331
1000564	2001	80
1000564	2001	87
1000564	2001	355
1000564	2001	356
1000564	2001	357
1000564	2001	873
1000564	2001	364
1000564	2001	366
1000564	2001	61
1000564	2001	371
1000564	2001	631
1000564	2001	382
1000564	2001	384
1000564	2001	641
1000564	2001	138
1000564	2001	153
1000564	2001	367
1000564	2001	421
1000564	2001	284
1000564	2001	736
1000564	2001	737
1000564	2001	495
1000564	2001	504
1000564	2001	506
1000577	2001	15
1000577	2001	533
1000577	2001	25
1000577	2001	32
1000577	2001	34
1000577	2001	35
1000577	2001	36
1000577	2001	37
1000577	2001	42
1000577	2001	44
1000577	2001	45
1000577	2001	48
1000577	2001	49
1000577	2001	50
1000577	2001	51
1000577	2001	308
1000577	2001	53
1000577	2001	54
1000577	2001	55
1000577	2001	56
1000577	2001	57
1000577	2001	394
1000577	2001	565
1000577	2001	64
1000577	2001	481
1000577	2001	331
1000577	2001	80
1000577	2001	594
1000577	2001	355
1000577	2001	356
1000577	2001	357
1000577	2001	873
1000577	2001	874
1000577	2001	621
1000577	2001	366
1000577	2001	61
1000577	2001	371
1000577	2001	631
1000577	2001	633
1000577	2001	641
1000577	2001	138
1000577	2001	153
1000577	2001	367
1000577	2001	421
1000577	2001	284
1000577	2001	451
1000577	2001	736
1000577	2001	738
1000577	2001	483
1000577	2001	492
1000577	2001	495
1000577	2001	504
1000577	2001	506
1000578	2001	10
1000578	2001	13
1000578	2001	15
1000578	2001	23
1000578	2001	25
1000578	2001	26
